#{"t_start": 1762623701.537952, "env_id": "LunarLander-v3"}
r,l,t
-106.245062,1000,226.067018
-43.688078,1000,226.751376
-42.211768,1000,227.554052
121.369402,753,228.063193
-27.358685,1000,228.891415
-61.609516,209,229.042852
228.4824,719,229.519732
-116.477532,698,230.100701
188.188871,374,230.354465
-63.284778,208,230.495161
-57.943654,225,230.641804
-91.640358,489,230.958628
209.334513,579,231.509109
86.939427,602,231.916034
90.221356,849,232.489792
-118.27175,452,232.835746
-153.04943,964,233.559312
228.711679,544,233.924449
-42.619401,1000,234.829042
-51.258544,185,234.955519
139.310945,540,235.33226
-36.052104,1000,236.187365
-126.438448,332,236.427983
-80.091481,240,236.591238
172.834174,637,237.017772
173.967652,473,237.556262
163.286224,549,237.926451
-83.831729,453,238.226362
-181.188817,699,238.688536
127.034565,1000,239.525986
147.354729,782,240.045613
-187.619945,802,240.709938
-19.856701,1000,241.373302
-7.150747,1000,242.210044
-95.584388,856,242.786945
-67.386038,269,242.974917
-45.896162,1000,243.847991
-147.263504,724,244.326743
-27.444418,1000,245.142528
68.529118,979,245.785917
-109.296536,365,246.020565
-87.581112,147,246.117278
-93.970984,336,246.352629
-74.306912,354,246.701759
-91.169362,164,246.809883
127.938318,690,247.282773
-100.251728,456,247.577093
-84.579692,265,247.806172
-61.568901,176,247.93774
-171.583205,814,248.567497
-94.053164,148,248.662618
-79.728811,537,249.008787
-78.850237,276,249.194904
-92.618336,199,249.338435
-84.29896,358,249.677625
-69.768464,171,249.790625
191.384337,336,250.001861
-181.054582,537,250.351686
223.813688,389,250.601483
-138.350765,490,251.096061
-72.625982,173,251.211059
-67.16493,370,251.469497
-74.44911,150,251.570973
166.460988,544,251.935371
-142.787006,688,252.51974
-81.135761,164,252.640848
-70.905092,251,252.809184
-69.964436,160,252.914691
-77.126924,162,253.019331
-82.684162,163,253.124263
-90.224592,154,253.22333
215.188638,378,253.474259
-49.435568,280,253.72431
-38.95681,336,254.057877
-135.055525,497,254.385473
-95.503303,207,254.519257
152.025838,393,254.783802
-87.60336,307,254.983817
-52.95116,309,255.213736
-166.033548,381,255.648413
-79.280199,247,255.815182
-68.733422,214,255.957147
-61.102869,352,256.193823
-88.152175,355,256.428643
-105.32428,1000,257.263558
-138.574753,545,257.627572
-20.687737,1000,258.322544
-88.496394,328,258.696734
-97.585932,1000,259.37229
-108.398628,271,259.55242
-97.645354,1000,260.355802
-165.388627,379,260.608547
-111.544419,1000,261.431802
-179.451009,474,261.768159
-85.230112,161,261.874772
-142.382083,495,262.21042
-98.207492,1000,263.01298
-55.403754,1000,263.680398
-114.348212,289,263.869937
-122.595456,1000,264.709847
-11.564678,1000,265.37028
-32.918875,1000,266.201024
-16.964121,1000,266.875716
-114.652632,477,267.217963
-64.455452,1000,267.988316
-76.438225,1000,268.706312
-48.860402,1000,269.464145
-95.552777,277,269.645591
-101.255367,622,270.05242
-75.478939,199,270.203394
-109.8575,310,270.505011
-161.853827,688,270.952217
-214.321984,774,271.449438
-131.543359,1000,272.265261
-155.336117,395,272.524012
-90.494713,1000,273.303798
-75.437367,1000,273.949838
-103.706784,227,274.100425
-60.340413,1000,274.919717
-90.543399,442,275.212966
-119.776712,148,275.309378
-91.449059,1000,276.039296
-60.894698,1000,276.81909
-79.749497,180,276.939231
-69.081746,1000,277.742938
-127.857574,606,278.146326
-181.14694,731,278.630974
-91.857885,254,278.801242
-87.795121,164,278.971927
-72.502838,283,279.26521
-88.513972,165,279.373725
-82.022892,1000,280.077641
-99.375121,202,280.209217
-53.95637,1000,280.997269
-113.890339,267,281.178336
-90.018412,212,281.325296
10.544812,1000,282.160788
-96.474321,1000,282.81449
-51.95907,1000,283.506286
7.013978,1000,284.268308
-69.78093,1000,285.101165
-227.225718,923,285.719243
-90.766778,296,285.913958
-41.430543,1000,286.695306
-93.075262,301,286.910144
-117.90565,1000,287.590676
-88.374454,454,288.06139
-17.091782,1000,288.727903
-243.684579,896,289.33401
-59.76113,327,289.656117
-20.538131,1000,290.314739
-55.219094,1000,291.143849
95.9265,973,291.792285
-105.598282,368,292.032266
-35.093301,1000,292.829848
-164.483471,483,293.146901
5.504449,1000,293.988683
-111.837027,280,294.175818
-75.624504,188,294.30061
84.884871,771,294.811686
-144.314813,832,295.53876
106.350461,805,296.077939
-136.218556,522,296.423587
-101.88539,295,296.627624
-88.133574,358,296.987699
-51.927656,206,297.161982
8.691414,1000,297.839526
-141.603271,845,298.507889
-115.783277,679,298.955422
63.029692,927,299.556791
168.272023,370,299.959228
-66.013534,238,300.115573
155.538035,833,300.657915
-159.753215,700,301.128935
-94.217618,523,301.580136
199.40416,508,301.915177
-95.021327,191,302.044462
156.928403,506,302.375499
-72.908331,228,302.585172
-60.317953,365,302.954157
130.42027,677,303.418356
-61.776011,167,303.531277
-97.206238,343,303.759691
-141.81485,654,304.361014
122.695943,512,304.710986
-60.59032,285,304.904564
100.162184,628,305.320641
228.424698,658,305.906687
196.616074,537,306.266228
135.225202,500,306.605802
-146.718124,656,307.119743
-92.634541,500,307.556596
163.080968,780,308.076185
-149.852941,557,308.435984
151.393687,657,309.006922
-65.446451,245,309.170221
-179.720974,235,309.323054
-53.244562,418,309.596905
-101.821335,437,309.894182
184.521973,614,310.47667
164.109897,432,310.766169
-100.77759,171,310.883717
-83.244127,339,311.10934
192.543131,413,311.397136
99.664035,856,312.111742
200.415973,396,312.376289
171.423691,431,312.668084
-46.402641,236,312.823438
-152.724647,598,313.385469
-66.482998,381,313.65033
-72.089244,305,313.859398
-80.322511,267,314.036339
-69.701737,239,314.195059
-95.193898,262,314.370374
195.731322,436,314.832255
-79.708347,190,314.960381
-89.720336,461,315.270083
218.918804,314,315.478687
-109.581311,369,315.725915
-65.590106,290,315.919498
169.469604,443,316.335294
-47.463817,167,316.445013
-38.560087,214,316.582596
-28.079005,165,316.690565
132.107342,330,316.912518
164.271212,535,317.263904
-52.142749,146,317.357948
-74.562274,213,317.561167
224.035745,360,317.904661
-86.049709,207,318.038076
-37.891644,227,318.185719
-83.110735,271,318.360189
214.706966,285,318.551649
-113.28799,134,318.64207
-74.307085,248,318.809093
-69.414031,134,318.900004
-84.965096,190,319.037866
-74.745592,150,319.247399
207.121699,379,319.569571
-68.293945,146,319.678715
-64.610793,124,319.771668
200.677773,392,320.055208
-34.641376,188,320.182979
